Temperature,Voltage
28,3.9
21,3.9
36,3.9
22,3.9
10,3.9
28,3.9
19,3.9
19,3.9
19,3.9
24,3.9
12,3.9
20,3.9
27,3.9
14,3.9
32,3.9
13,3.9
16,4
23,4
39,4
19,4
27,4
32,4
30,4
29,4
25,4
26,4
19,4
23,4
18,4
10,4
24,4
29,4
23,4
30,4
38,4
23,4
10,4
15,4
32,4
17,4
22,4
24,4
23,4
19,4
13,4
33,4
22,4
39,4
33,4
36,4
28,4
38,4
32,4
19,4
28,4
25,4
31,4
21,4
33,4
11,4
14,4
10,4
20,4
31,4
39,4.1
21,4.1
27,4.1
18,4.1
18,4.1
22,4.1
30,4.1
28,4.1
20,4.1
26,4.1
10,4.1
35,4.1
20,4.1
31,4.1
19,4.1
12,4.1
29,3.8
32,3.8
26,3.8
30,3.8
26,3.8
11,3.8
14,3.8
16,3.8
39,3.8
18,3.8
25,3.8
33,3.8
15,3.8
10,3.8
26,3.8
10,3.8
20,3.8
29,3.8
33,3.8
31,3.8
19,3.8
13,3.8
33,3.8
10,3.8
32,3.8
28,3.8
30,3.8
24,3.8
11,3.8
23,3.8
6,3.8
39,3.8
29,3.8
2,3.8
30,3.8
37,3.8
2,3.8
11,3.8
20,3.8
29,3.8
12,3.8
25,3.8
31,3.8
5,3.8
34,3.8
5,3.8
3,3.8
15,3.8
32,3.8
30,3.8
9,3.8
24,3.8
32,3.8
14,3.8
20,3.8
1,3.8
4,3.8
8,3.8
20,3.8
20,3.8
35,3.8
11,3.8
39,3.8
12,3.8
28,3.8
3,3.8
39,3.8
2,3.8
17,3.8
22,3.8
5,3.8
2,3.8
31,3.8
21,3.8
8,3.8
30,3.5
25,3.5
20,3.5
26,3.5
32,3.5
37,3.5
16,3.5
12,3.5
20,3.5
5,3.5
31,3.5
19,3.5
25,3.5
9,3.5
20,3.5
17,3.5
10,3.5
22,3.5
7,3.5
24,3.5
10,3.5
13,3.5
18,3.5
24,3.5
17,3.5
2,3.5
8,3.5
37,3.5
13,3.5
1,3.5
21,3.5
31,3.5
1,3.5
25,3.5
32,3.5
27,3.5
37,3.5
4,3.5
7,3.5
26,3.5
34,3.5
10,3.5
2,3.5
13,3.5
24,3.5
7,3.5
22,3.5
23,3.5
13,3.5
27,3.5
8,3.5
2,3.5
12,3.5
30,3.5
17,3.5
11,3.5
2,3.5
3,3.5
1,3.5
25,3.5
24,3.5
13,3.5
25,3.5
37,3.5
8,3.5
20,3.5
4,3.5
12,3.5
37,3.5
2,3.5
3,3.5
32,3.5
12,3.5
17,3.5
37,3.5
6,3.6
15,3.6
17,3.6
9,3.6
19,3.6
29,3.6
19,3.6
3,3.6
5,3.6
21,3.6
20,3.6
37,3.6
35,3.6
24,3.6
12,3.6
26,3.6
11,3.6
16,3.6
34,3.6
32,3.6
26,3.6
19,3.6
32,3.6
27,3.6
31,3.6
2,3.6
39,3.6
27,3.6
1,3.6
5,3.6
22,3.6
10,3.6
23,3.6
5,3.6
36,3.6
12,3.6
17,3.6
7,3.6
31,3.6
11,3.6
10,3.6
8,3.6
21,3.6
28,3.6
34,3.6
10,3.6
25,3.6
1,3.6
7,3.6
6,3.6
5,3.6
10,3.6
8,3.6
13,3.6
29,3.6
38,3.6
11,3.6
21,3.6
39,3.6
27,3.6
32,3.6
7,3.6
30,3.6
23,3.6
33,3.6
17,3.6
28,3.6
36,3.6
15,3.6
39,3.6
9,3.6
5,3.6
18,3.6
15,3.6
22,3.6
19,3.6
11,3.6
8,3.6
34,3.6
26,3.6
39,3.6
24,3.6
23,3.6
18,3.6
20,3.6
25,3.6
1,3.6
16,3.6
30,3.6
10,3.6
6,3.6
35,3.6
10,3.6
16,3.6
13,3.6
31,3.6
11,3.6
5,3.6
16,3.6
31,3.6
17,3.6
21,3.6
11,3.6
19,3.6
37,3.6
27,3.6
37,3.6
17,3.6
18,3.6
11,3.6
24,3.6
23,3.6
31,3.6
33,3.6
11,3.6
6,3.6
34,3.6
13,3.6
35,3.6
11,3.6
33,3.6
1,3.6
9,3.6
9,3.6
10,3.6
10,3.6
18,3.6
12,3.6
36,3.6
26,3.6
28,3.6
22,3.6
26,3.6
1,3.6
24,3.6
24,3.6
