Temperature,Voltage
9,4.9
54,4.9
40,4.9
41,4.9
36,4.9
45,4.9
9,4.9
44,4.9
38,4.9
7,4.9
35,4.9
38,4.9
6,4.9
54,4.9
36,4.9
13,4.8
8,4.8
9,4.8
11,4.8
43,4.8
27,4.8
20,4.8
31,4.8
43,4.8
10,4.8
27,4.8
32,4.8
3,5
46,5
31,5
42,5
49,5
51,5
54,5
9,5
48,5
22,5
50,5
5,5
36,5
38,5
38,5
4,5
49,5
53,5
3,5
6,5
39,5
24,5
48,5
7,5
12,5
13,5
9,5
29,5
43,5.3
47,5.3
21,5.3
21,5.3
3,5.3
49,5.3
23,5.3
55,5.3
45,5.3
23,5.3
11,5.3
47,5.3
16,5.3
45,5.3
48,5.3
28,5.3
20,5.3
50,5.3
6,5.3
39,5.3
23,5.3
3,5.3
47,5.3
40,5.3
49,5.3
18,5.4
10,5.4
20,5.4
11,5.4
46,5.4
46,5.4
53,5.4
8,5.4
15,5.4
47,5.4
12,5.4
8,5.4
1,5.4
53,5.4
32,5.4
6,5.4
38,5.4
51,5.4
28,5.4
30,5.4
16,5.4
29,5.4
19,5.4
8,5.4
45,5.4
33,5.4
35,5.4
35,5.4
20,5.4
30,5.4
32,5.4
50,5.4
7,5.4
47,5.4
24,5.4
15,5.4
9,5.4
38,5.4
3,5.4
15,5.4
2,5.4
16,5.4
34,5.4
24,5.4
24,5.4
14,5.4
55,5.4
46,5.4
48,5.4
36,5.4
7,5.4
10,5.4
14,5.4
24,5.4
10,5.4
19,5.4
42,5.4
42,5.4
36,5.4
29,5.4
35,5.4
30,5.4
35,5.4
8,5.4
49,5.4
29,5.4
44,5.4
55,5.4
52,5.4
45,5.4
35,5.4
36,5.4
39,5.4
43,5.4
16,5.4
49,5.4
55,5.4
24,5.4
19,5.4
27,5.4
45,5.4
15,5.4
34,5.4
39,5.4
1,5.4
12,5.4
24,5.4
12,5.4
6,5.4
55,5.4
2,5.4
4,5.4
3,5.4
4,5.4
13,5.4
51,5.4
44,5.4
17,5.4
36,5.4
42,5.4
10,5.4
31,5.4
23,5.4
14,5.4
30,5.4
48,5.4
20,5.4
46,5.6
20,5.6
34,5.6
42,5.6
15,5.6
6,5.6
28,5.6
10,5.6
54,5.6
10,5.6
53,5.6
7,5.6
35,5.6
49,5.6
12,5.6
26,5.6
1,5.6
16,5.6
10,5.6
38,5.6
37,5.6
46,5.6
35,5.6
3,5.6
32,5.6
11,5.6
33,5.6
29,5.6
5,5.6
10,5.6
18,5.6
10,5.6
17,5.6
41,5.6
22,5.6
28,5.6
49,5.6
51,5.6
21,5.6
34,5.6
47,5.6
43,5.6
21,5.6
25,5.6
14,5.6
3,5.6
51,5.6
30,5.6
50,5.6
43,5.6
27,5.6
26,5.6
47,5.6
49,5.6
25,5.6
27,5.6
29,5.6
21,5.6
19,5.6
33,5.6
9,5.6
24,5.6
6,5.6
9,5.6
12,5.6
22,5.6
31,5.6
43,5.6
52,5.6
16,5.6
22,5.6
24,5.6
53,5.6
2,5.6
21,5.6
8,5.6
7,5.6
24,5.6
33,5.6
9,5.6
50,5.6
14,5.6
32,5.6
54,5.6
38,5.6
5,5.6
34,5.6
41,5.6
43,5.6
20,5.6
30,5.6
4,5.6
2,5.6
54,5.6
49,5.6
54,5.6
25,5.6
38,5.6
50,5.6
47,5.6
50,5.6
12,5.6
9,5.6
32,5.6
4,5.6
4,5.6
33,5.6
46,5.6
3,5.6
38,5.6
50,5.6
26,5.6
29,5.6
53,5.6
39,5.6
26,5.6
55,5.6
8,5.6
19,5.6
28,5.6
36,5.6
46,5.6
25,5.6
20,5.6
31,5.6
12,5.6
4,5.6
21,5.6
35,5.6
1,5.6
9,5.6
2,5.6
6,5.6
30,5.6
45,5.6
44,5.6
5,5.6
4,5.6
23,5.2
41,5.2
14,5.2
29,5.2
20,5.2
30,5.2
11,5.2
39,5.2
5,5.2
19,5.2
31,5.2
54,5.2
49,5.2
49,5.2
33,5.2
54,5.2
3,5.2
48,5.2
47,5.2
26,5.2
10,5.2
49,5.2
51,5.2
42,5.2
1,5.2
5,5.2
24,5.2
16,5.2
3,5.2
23,5.2
13,5.2
47,5.2
1,5.2
45,5.2
27,5.2
42,5.2
39,5.2
19,5.2
3,5.2
9,5.2
40,5.2
29,5.2
2,5.2
16,5.2
5,5.2
24,5.2
9,5.2
7,5.2
19,5.2
23,5.2
48,5.2
17,5.2
55,5.2
49,5.2
26,5.2
21,5.2
48,5.2
53,5.2
41,5.2
8,5.2
15,5.2
18,5.2
3,5.2
55,5.2
26,5.2
44,5.2
35,5.2
44,5.2
38,5.2
48,5.2
48,5.2
38,5.2
31,5.2
51,5.2
36,5.2
3,5.2
46,5.2
4,5.2
46,5.2
48,5.2
48,5.2
32,5.2
25,5.2
44,5.2
45,5.2
36,5.2
39,5.2
5,5.2
14,5.2
12,5.2
44,5.2
30,5.2
18,5.2
29,5.2
44,5.2
1,5.2
7,5.2
9,5.2
37,5.2
50,5.2
28,5.2
4,5.2
54,5.2
41,5.2
24,5.2
17,5.2
23,5.2
21,5.2
24,5.2
45,5.2
50,5.2
10,5.2
18,5.2
9,5.2
10,5.2
29,5.2
28,5.2
31,5.2
40,5.2
54,5.2
11,5.2
7,5.2
36,5.2
1,5.2
40,5.2
16,5.2
20,5.2
20,5.2
46,5.2
4,5.2
34,5.2
7,5.2
14,5.2
2,5.2
6,5.2
16,5.2
4,5.2
16,5.2
8,5.2
24,5.2
24,5.2
23,5.2
44,5.2
9,5.2
38,5.2
32,5.2
17,5.2
4,5.2
47,5.2
30,5.2
43,5.2
13,5.2
46,5.2
53,5.2
16,5.2
28,5.2
53,5.2
51,5.2
4,5.2
7,5.2
52,5.2
6,5.2
50,5.2
40,5.2
25,5.2
13,5.2
47,5.2
19,4.9
21,4.9
13,4.9
22,4.9
47,4.9
24,4.9
34,4.9
13,4.9
